domain,problem,time,plan_length,plan_found
blocksworld,0_01,102.067865,10.0,True
blocksworld,0_02,102.641403,8.0,True
blocksworld,0_03,103.776869,20.0,True
blocksworld,0_04,100.091573,24.0,True
blocksworld,0_05,100.256945,24.0,True
blocksworld,0_06,100.873082,26.0,True
blocksworld,0_07,102.018362,32.0,True
blocksworld,0_08,102.331289,32.0,True
blocksworld,0_09,106.399846,36.0,True
blocksworld,0_10,102.100435,38.0,True
blocksworld,0_11,,,False
blocksworld,0_12,112.818397,40.0,True
blocksworld,0_13,1024.726357,42.0,True
blocksworld,0_14,915.598657,44.0,True
blocksworld,0_15,1768.84117,46.0,True
blocksworld,0_16,,,False
blocksworld,0_17,,,False
blocksworld,0_18,1193.738867,50.0,True
blocksworld,0_19,,,False
blocksworld,0_20,,,False
blocksworld,0_21,,,False
blocksworld,0_22,,,False
blocksworld,0_23,,,False
blocksworld,0_24,,,False
blocksworld,0_25,,,False
blocksworld,0_26,,,False
blocksworld,0_27,,,False
blocksworld,0_28,,,False
blocksworld,0_29,,,False
blocksworld,0_30,,,False
blocksworld,1_01,,,False
blocksworld,1_02,,,False
blocksworld,1_03,,,False
blocksworld,1_04,,,False
blocksworld,1_05,,,False
blocksworld,1_06,,,False
blocksworld,1_07,,,False
blocksworld,1_08,,,False
blocksworld,1_09,,,False
blocksworld,1_10,,,False
blocksworld,1_11,,,False
blocksworld,1_12,,,False
blocksworld,1_13,,,False
blocksworld,1_14,,,False
blocksworld,1_15,,,False
blocksworld,1_16,,,False
blocksworld,1_17,,,False
blocksworld,1_18,,,False
blocksworld,1_19,,,False
blocksworld,1_20,,,False
blocksworld,1_21,,,False
blocksworld,1_22,,,False
blocksworld,1_23,,,False
blocksworld,1_24,,,False
blocksworld,1_25,,,False
blocksworld,1_26,,,False
blocksworld,1_27,,,False
blocksworld,1_28,,,False
blocksworld,1_29,,,False
blocksworld,1_30,,,False
blocksworld,2_01,,,False
blocksworld,2_02,,,False
blocksworld,2_03,,,False
blocksworld,2_04,,,False
blocksworld,2_05,,,False
blocksworld,2_06,,,False
blocksworld,2_07,,,False
blocksworld,2_08,,,False
blocksworld,2_09,,,False
blocksworld,2_10,,,False
blocksworld,2_11,,,False
blocksworld,2_12,,,False
blocksworld,2_13,,,False
blocksworld,2_14,,,False
blocksworld,2_15,,,False
blocksworld,2_16,,,False
blocksworld,2_17,,,False
blocksworld,2_18,,,False
blocksworld,2_19,,,False
blocksworld,2_20,,,False
blocksworld,2_21,,,False
blocksworld,2_22,,,False
blocksworld,2_23,,,False
blocksworld,2_24,,,False
blocksworld,2_25,,,False
blocksworld,2_26,,,False
blocksworld,2_27,,,False
blocksworld,2_28,,,False
blocksworld,2_29,,,False
blocksworld,2_30,,,False
ferry,0_01,0.017512,8.0,True
ferry,0_02,0.013013,8.0,True
ferry,0_03,0.02592,12.0,True
ferry,0_04,0.031531,11.0,True
ferry,0_05,0.278974,15.0,True
ferry,0_06,3.241179,18.0,True
ferry,0_07,6.976296,19.0,True
ferry,0_08,94.91807,23.0,True
ferry,0_09,100.209227,24.0,True
ferry,0_10,100.389123,26.0,True
ferry,0_11,101.877563,30.0,True
ferry,0_12,101.339361,29.0,True
ferry,0_13,101.180424,31.0,True
ferry,0_14,101.301587,33.0,True
ferry,0_15,149.787699,37.0,True
ferry,0_16,186.102259,39.0,True
ferry,0_17,,,False
ferry,0_18,195.564543,40.0,True
ferry,0_19,,,False
ferry,0_20,,,False
ferry,0_21,,,False
ferry,0_22,,,False
ferry,0_23,,,False
ferry,0_24,,,False
ferry,0_25,,,False
ferry,1_01,101.066473,36.0,True
ferry,1_02,159.130711,47.0,True
ferry,1_03,,,False
ferry,1_04,,,False
ferry,1_05,,,False
ferry,1_06,,,False
ferry,1_07,,,False
ferry,1_08,,,False
ferry,1_09,,,False
ferry,1_10,,,False
ferry,1_11,,,False
ferry,1_12,,,False
ferry,1_13,,,False
ferry,1_14,,,False
ferry,1_15,,,False
ferry,1_16,,,False
ferry,1_17,,,False
ferry,1_18,,,False
ferry,1_19,,,False
ferry,1_20,,,False
ferry,1_21,,,False
ferry,1_22,,,False
ferry,1_23,,,False
ferry,1_24,,,False
ferry,1_25,,,False
ferry,2_01,,,False
ferry,2_02,,,False
ferry,2_03,,,False
ferry,2_04,,,False
ferry,2_05,,,False
ferry,2_06,,,False
ferry,2_07,,,False
ferry,2_08,,,False
ferry,2_09,,,False
ferry,2_10,,,False
ferry,2_11,,,False
ferry,2_12,,,False
ferry,2_13,,,False
ferry,2_14,,,False
ferry,2_15,,,False
ferry,2_16,,,False
ferry,2_17,,,False
ferry,2_18,,,False
ferry,2_19,,,False
ferry,2_20,,,False
ferry,2_21,,,False
ferry,2_22,,,False
ferry,2_23,,,False
ferry,2_24,,,False
